# addr size bucket subsystem class how
00401010    370 MISSING-ENGINE lib/fight                          (nearby)                                           layout-weak
00401190     43 MISSING-ENGINE lib/fight                          (nearby)                                           layout-weak
004011c0     52 MISSING-ENGINE lib/fight                          FightVolumeVehicleBroker                           callers
00401200     17 THIRD-PARTY    CRT+STL-inlined                    (nearby)                                           layout-weak
00401220     16 THIRD-PARTY    CRT+STL-inlined                    (nearby)                                           layout-weak
00401230      7 THIRD-PARTY    CRT+STL-inlined                    Concurrency::details::_NonReentrantLock            symname
00401240     11 THIRD-PARTY    CRT+STL-inlined                    (nearby)                                           layout-weak
00401250     13 LEAK           gameobject/ai                      (nearby)                                           layout-weak
00401260      4 LEAK           gameobject/ai                      (nearby)                                           layout-weak
00401270     21 LEAK           gameobject/ai                      AITask_PossibleMildInterest                        callers
00401290      5 LEAK           gameobject/ai                      (module-range)                                     layout
004012a0     35 LEAK           gameobject/ai                      (module-range)                                     layout
004012d0     86 LEAK           gameobject/ai                      (module-range)                                     layout
00401330     96 LEAK           gameobject/ai                      (module-range)                                     layout
00401390     37 LEAK           gameobject/ai                      AITask_WatchDangerSource                           callers
004013c0     68 LEAK           gameobject/ai                      AITask_ReactToDangerReaction                       callers
00401410     72 LEAK           gameobject/ai                      (module-range)                                     layout
00401460     39 LEAK           gameobject/ai                      (module-range)                                     layout
00401490     15 LEAK           gameobject/ai                      (module-range)                                     layout
004014a0     56 LEAK           gameobject/ai                      (module-range)                                     layout
004014e0     72 LEAK           gameobject/ai                      AITask_IdleAction                                  callers
00401530    101 LEAK           gameobject/ai                      FilterOutEdgeDescendents                           callers
004015a0     37 LEAK           gameobject/render                  TraceFireObject                                    callers
004015d0    156 LEAK           gameobject/render                  (nearby)                                           layout-weak
00401670    102 LEAK           gameobject/ai                      (nearby)                                           layout-weak
004016e0     26 LEAK           gameobject/ai                      AITask_SlowDownCarForCorpses                       callers
00401700    134 LEAK           gameobject/ai                      AITask_WatchDangerSource                           callers
00401790     64 LEAK           gameobject/ai                      AITask_WatchDangerSource                           callers
004017d0     31 MISSING-ENGINE engine/vehicle                     (nearby)                                           layout-weak
004017f0     31 MISSING-ENGINE engine/vehicle                     (nearby)                                           layout-weak
00401810     35 MISSING-ENGINE engine/vehicle                     BoatLocomotion                                     callers
00401840     59 MISSING-ENGINE engine/vehicle                     (nearby)                                           layout-weak
00401880     31 LEAK           gameobject/camera                  (nearby)                                           layout-weak
004018a0     55 LEAK           gameobject/camera                  NISCamera                                          callers
004018e0     35 LEAK           gameobject/camera                  (nearby)                                           layout-weak
00401910     33 LEAK           gameobject/aivehicle               (nearby)                                           layout-weak
00401940     33 LEAK           gameobject/aivehicle               CarAIBehavior                                      callers
00401970     33 LEAK           gameobject/aivehicle               (nearby)                                           layout-weak
004019a0     22 LEAK           gameobject/aivehicle               (nearby)                                           layout-weak
004019c0    183 LEAK           gameobject/aivehicle               (nearby)                                           layout-weak
00401a80     10 LEAK           gameobject/fighttree               (nearby)                                           layout-weak
00401a90     50 LEAK           gameobject/fighttree               (nearby)                                           layout-weak
00401ad0      7 LEAK           gameobject/fighttree               NISCharacterAttachAction                           callers
00401ae0     32 LEAK           gameobject/ai                      AITask_ChallengeTony                               callers
00401b00     20 MISSING-ENGINE engine/character                   AnimationRetargetingAction                         callers
00401b20     21 LEAK           gameobject/ai                      AICommandWaits::Wait_FacingObject                  callers
00401b40     60 LEAK           gameobject/stateprop               MountedWeaponStateProp                             callers
00401b80     79 LEAK           gameobject/character               CharacterObject                                    callers
00401bd0     67 LEAK           gameobject/ai                      AITask_Engage                                      callers
00401c20    121 LEAK           gameobject/ai                      AITask_Engage                                      between
00401ca0     65 LEAK           gameobject/ai                      AITask_Engage                                      callers
00401cf0    103 LEAK           gameobject/ai                      (nearby)                                           layout-weak
00401d60    115 LEAK           gameobject/character               CharacterObject                                    callers
00401de0     35 LEAK           gameobject/character               CharacterObject                                    callers
00401e10     27 LEAK           gameobject/character               (module-range)                                     layout
00401e30     12 LEAK           gameobject/character               (module-range)                                     layout
00401e40     25 LEAK           gameobject/character               (module-range)                                     layout
00401e60     43 LEAK           gameobject/character               WallCover                                          callers
00401e90     27 LEAK           gameobject/character               CharacterObject                                    callers
00401eb0    178 LEAK           gameobject/fighttree               NISSwapModelAction                                 callers
00401f70     26 LEAK           gameobject/hud                     InvSelectionHUD                                    callers
00401f90     26 MISSING-ENGINE lib/fight                          UpperBodyAnimStateCondition                        callers
00401fc0     11 MISSING-ENGINE lib/fight                          (nearby)                                           layout-weak
00402010     34 LEAK           gameobject/character               (nearby)                                           layout-weak
00402040     20 LEAK           gameobject/character               (nearby)                                           layout-weak
00402060     71 LEAK           gameobject/character               CharacterObject                                    callers
004020b0     18 MISSING-ENGINE engine/database                    CharacterFightVolumeBroker                         callers
004020d0     18 LEAK           gameobject/character               CharacterObject                                    callers
004020f0     13 LEAK           gameobject/character               CharacterObject                                    callers
00402100     13 MISSING-ENGINE lib/fight                          DismemberTrack                                     callers
00402110     12 MISSING-ENGINE engine/character                   (nearby)                                           layout-weak
00402120      9 MISSING-ENGINE engine/character                   AnimationAction                                    callers
00402130     11 MISSING-ENGINE engine/character                   AnimationAction                                    callers
00402140     38 MISSING-ENGINE engine/character                   AnimationAction                                    callers
00402170     13 MISSING-ENGINE engine/character                   AnimationAction                                    callers
00402180      7 MISSING-ENGINE engine/character                   (nearby)                                           layout-weak
00402190     15 MISSING-ENGINE engine/character                   (nearby)                                           layout-weak
004021a0     12 LEAK           gameobject/character               (nearby)                                           layout-weak
004021b0     28 LEAK           gameobject/character               (nearby)                                           layout-weak
004021d0     92 LEAK           gameobject/character               CharacterObject                                    callers
00402230     18 LEAK           gameobject/character               CharacterObject                                    callers
00402250     16 LEAK           gameobject/character               CharacterObject                                    callers
00402260     18 LEAK           gameobject/character               CharacterObject                                    callers
00402280     18 LEAK           gameobject/character               CharacterObject                                    callers
004022a0     18 LEAK           gameobject/character               CharacterObject                                    callers
004022c0     81 LEAK           gameobject/character               (nearby)                                           layout-weak
00402320     90 MISSING-ENGINE engine/collision                   WheelWorldCollisionBroker                          callers
00402380     77 MISSING-ENGINE engine/collision                   (nearby)                                           layout-weak
004023d0     73 MISSING-ENGINE engine/nis                         (nearby)                                           layout-weak
00402420    269 MISSING-ENGINE engine/nis                         NISManager                                         callers
00402530     63 MISSING-ENGINE engine/collision                   (nearby)                                           layout-weak
00402570    138 MISSING-ENGINE engine/collision                   (nearby)                                           layout-weak
00402600     30 MISSING-ENGINE engine/collision                   (nearby)                                           layout-weak
00402620     22 MISSING-ENGINE engine/collision                   CharacterPropCollisionBroker                       callers
00402640     18 LEAK           gameobject/character               CharacterObject                                    callers
00402660    252 LEAK           gameobject/character               CharacterObject                                    between
00402760     59 LEAK           gameobject/character               CharacterObject                                    callers
004027a0     22 LEAK           gameobject/character               (nearby)                                           layout-weak
004027c0     59 LEAK           gameobject/character               (nearby)                                           layout-weak
00402810     27 MISSING-ENGINE engine/collision                   (nearby)                                           layout-weak
00402830     65 MISSING-ENGINE engine/collision                   CharacterWorldCollisionBroker                      callers
00402880     60 MISSING-ENGINE engine/collision                   CharacterPropCollisionBroker                       callers
004028c0     39 LEAK           gameobject/stateprop               (nearby)                                           layout-weak
004028f0    115 LEAK           gameobject/stateprop               MortarObject                                       callers
00402970     32 LEAK           gameobject/stateprop               (nearby)                                           layout-weak
00402990     58 LEAK           gameobject/ai                      (nearby)                                           layout-weak
004029d0     25 LEAK           gameobject/ai                      (nearby)                                           layout-weak
004029f0     25 LEAK           gameobject/ai                      (nearby)                                           layout-weak
00402a10     37 LEAK           gameobject/ai                      AISteeringAvoidanceState                           callers
00402a40     41 LEAK           gameobject/ai                      (nearby)                                           layout-weak
00402a70     37 LEAK           gameobject/character               (nearby)                                           layout-weak
00402aa0     33 LEAK           gameobject/character               (nearby)                                           layout-weak
00402ad0    130 LEAK           gameobject/character               CharacterObject                                    callers
00402b60    435 LEAK           gameobject/character               (nearby)                                           layout-weak
00402d20      7 MISSING-ENGINE lib/fight                          FightContext                                       callers
00402d30     39 MISSING-ENGINE engine/collision                   JointCollisionAction                               callers
00402d60     19 MISSING-ENGINE engine/database                    CharacterBulletBroker                              callers
00402d80    161 MISSING-ENGINE engine/collision                   JointCollisionAction                               callers
00402e40     27 MISSING-ENGINE engine/database                    CharacterBulletBroker                              callers
00402e60     51 MISSING-ENGINE engine/database                    (nearby)                                           layout-weak
00402ea0    137 MISSING-ENGINE engine/database                    (nearby)                                           layout-weak
00402f30     67 MISSING-ENGINE engine/database                    (nearby)                                           layout-weak
00402f80    238 MISSING-ENGINE engine/database                    (nearby)                                           layout-weak
00403070    150 LEAK           gameobject/character               (nearby)                                           layout-weak
00403110    132 LEAK           gameobject/character               (nearby)                                           layout-weak
004031a0     74 LEAK           gameobject/character               (nearby)                                           layout-weak
004031f0    168 LEAK           gameobject/character               CharacterObject                                    callers
004032a0     31 LEAK           gameobject/character               CharacterObject                                    callers
004032c0     87 MISSING-ENGINE engine/character                   AnimationAction                                    callers
00403320     67 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
00403370    240 LEAK           gameobject/vehicle                 (nearby)                                           layout-weak
00403460     97 MISSING-ENGINE engine/character                   AnimationAction                                    callers
004034d0     95 MISSING-ENGINE engine/character                   (nearby)                                           layout-weak
00403530    161 MISSING-ENGINE engine/character                   (nearby)                                           layout-weak
004035e0    594 MISSING-ENGINE engine/character                   (nearby)                                           layout-weak
00403840     79 LEAK           gameobject/character               CharacterObject                                    callers
00403890    305 MISSING-ENGINE engine/database                    CharacterBulletBroker                              callers
004039d0    218 LEAK           gameobject/character               CharacterObject                                    callers
00403ab0    227 MISSING-ENGINE engine/nis                         NISManager                                         callers
00403ba0   1208 MISSING-ENGINE engine/nis                         (nearby)                                           layout-weak
00404060     71 LEAK           gameobject/character               (nearby)                                           layout-weak
004040b0     87 LEAK           gameobject/character               (nearby)                                           layout-weak
00404110     63 LEAK           gameobject/character               (nearby)                                           layout-weak
00404150     68 LEAK           gameobject/character               (nearby)                                           layout-weak
004041a0    146 LEAK           gameobject/character               (nearby)                                           layout-weak
00404240    379 LEAK           gameobject/character               CharacterObject                                    callers
004043c0    249 LEAK           gameobject/character               CharacterObject                                    callers
004044c0    349 LEAK           gameobject/character               CharacterObject                                    callers
00404620     78 LEAK           gameobject/ai                      FloodFillFilterIsSidewalk                          callers
00404670     45 LEAK           gameobject/ai                      FloodFillFilterIsSidewalk                          callers
004046a0     72 LEAK           gameobject/ai                      FloodFillFilterIsSidewalk                          callers
004046f0    121 LEAK           gameobject/ai                      AITask_PossibleMildInterest                        callers
00404770     82 MISSING-ENGINE engine/character                   AnimationAction                                    callers
004047d0     30 SHR-DERIVED    atg/pure3d                         content::LoadInventory::DynamicCaster<pure3d::ShadowSkin> vtable
004047f0    376 SHR-DERIVED    atg/pure3d                         (nearby)                                           layout-weak
00404970     47 LEAK           gameobject/character               (nearby)                                           layout-weak
004049e0     15 LEAK           gameobject/character               (nearby)                                           layout-weak
004049f0     92 LEAK           gameobject/character               WallCover                                          callers
00404aa0     65 LEAK           gameobject/character               (module-range)                                     layout
00404af0   2293 LEAK           gameobject/character               (module-range)                                     layout
004053f0    104 LEAK           gameobject/character               CharacterObject                                    callers
00405460   1109 LEAK           gameobject/character               CharacterObject                                    between
004058c0    682 LEAK           gameobject/character               CharacterObject                                    between
00405b70    810 LEAK           gameobject/character               CharacterObject                                    between
00405ea0    170 LEAK           gameobject/character               CharacterObject                                    callers
00405f50    418 LEAK           gameobject/character               CharacterObject                                    callers
00406100    305 LEAK           gameobject/character               CharacterObject                                    callers
00406240    360 LEAK           gameobject/character               CharacterObject                                    callers
004063b0     60 LEAK           gameobject/ai                      (nearby)                                           layout-weak
004063f0     62 LEAK           gameobject/ai                      FloodFillFilterIsSidewalk                          callers
00406430   1917 LEAK           gameobject/character               CharacterObject                                    callers
00406bb0    232 LEAK           gameobject/character               CharacterObject                                    between
00406ca0    552 LEAK           gameobject/character               CharacterObject                                    callers
00406ed0    828 LEAK           gameobject/character               CharacterObject                                    callers
00407210    475 LEAK           gameobject/character               CharacterObject                                    callers
004073f0      6 THIRD-PARTY    CRT+STL-inlined                    std::vector<void,std::allocator<void>>             symname
00407400     41 SHR-DERIVED    atg/pure3d                         content::LoadInventory::DynamicCaster<pure3d::ShadowSkin> ctor/vtref
00407430   1444 LEAK           gameobject/fighttree               NISSwapModelAction                                 callers
004079e0    685 LEAK           gameobject/character               CharacterObject                                    callers
00407c90    518 LEAK           gameobject/character               CharacterObject                                    callers
00407ea0    506 LEAK           gameobject/character               CharacterObject                                    between
004080a0   2195 LEAK           gameobject/character               CharacterObject                                    callers
00408940    815 LEAK           gameobject/character               CharacterObject                                    callers
00408c70     27 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
00408c90     16 MISSING-ENGINE engine/UNCLASSIFIED                GenericColliderTracker                             callers
00408ca0     41 MISSING-ENGINE engine/UNCLASSIFIED                (nearby)                                           layout-weak
00408cd0     19 LEAK           gameobject/vehicle                 VehicleObject                                      callers
00408d30     54 LEAK           gameobject/ai                      AITask_ChallengeTony                               callers
00408d70     34 MISSING-ENGINE engine/UNCLASSIFIED                GenericColliderTracker                             callers
00408da0    153 LEAK           gameobject/fighttree               NISCharacterAttachAction                           callers
00408e40    210 MISSING-ENGINE engine/character                   AnimationAction                                    callers
00408f20    364 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
00409090     91 LEAK           gameobject/fighttree               NISSwapModelAction                                 callers
00409130     27 LEAK           gameobject/vehicle                 (nearby)                                           layout-weak
00409150      4 LEAK           gameobject/vehicle                 ActiveVehicleObject                                callers
00409160     30 MISSING-ENGINE engine/UNCLASSIFIED                GenericColliderTracker                             callers
00409180     32 MISSING-ENGINE engine/UNCLASSIFIED                (nearby)                                           layout-weak
004091a0     30 LEAK           gameobject/stateprop               (nearby)                                           layout-weak
004091c0    157 LEAK           gameobject/stateprop               GameObjectMover                                    callers
00409260     33 LEAK           gameobject/fighttree               NISCharacterAttachAction                           callers
00409290     41 LEAK           gameobject/template                VehicleArtTemplate                                 callers
004092c0     12 LEAK           gameobject/template                MainCharacterTemplate                              callers
004092d0     77 LEAK           gameobject/fighttree               NISCharacterEffectAction                           callers
00409360     29 LEAK           gameobject/template                (nearby)                                           layout-weak
00409380    741 LEAK           gameobject/template                MainCharacterTemplate                              callers
00409670     45 MISSING-ENGINE lib/fight                          (nearby)                                           layout-weak
