0040f390 AddRef
0040f3a0 Release
0040fec0 Entity::SetName
00414e10 pddiObject::Release
0041ef40 GetInt_0x1C
0043cc30 GetHeapID
0043ce00 memory_alloc_0
0043ce70 memfree
0043d6e0 IRefCount::dtor
0043f710 NISManager::ctor
00447ff0 pure3d::d3dSimpleShader::SetAlphaCompare
004494e0 ChunkFile::GetLong
0045d360 renderer::Display_List::Display
0045d3b0 renderer::Display_List::func1
0045e680 renderer::Display_List::func2
00461aa0 InitP3DHandler
00461ab0 InstallDefaultHandlers
00465100 pure3d::TargaHandler::GetExtension
00468d60 ArrayThing::Init4
0046a550 PtFuncCompare
0046d130 Entity::Clone
0046d780 renderer::DecalPrimitive::ctor
0046f2e0 renderer::InstancePrimitive::ctor
00470820 renderer::OceanPrimitive::ctor
00476a30 renderer::SkidmarkContainer::ctor
00479370 renderer::VehiclePrimitive::ctor
0047af60 renderer::WakePrimitive::ctor
0047c200 DriveManager::ctor
0047c900 FindInventoryByID
0047ca30 FindInventoryID
0047cad0 GetInventoryByID
0047cdd0 FileHandlerManager::GetInst
0047cf80 FileHandlerManager_47CF80
0047d350 FileHandlerManager::ctor
0047d7c0 FileHandlerManager_47D7C0
0047d8b0 FileHandlerManager_47D8B0
0047dc00 GetExtensionOfType
0047e6e0 GetInventoryByID_2
0047e710 FindInventoryByString
0047fdf0 ResourceManager::ResourceList::ctor
00482ad0 InitSoundHandlers
004979a0 GetChunkId
004979d0 GetInt_0x14
0049b9e0 SoundManager::SoundFlowClient::ctor
004b5340 StreamManagerFlowClient::ctor
004c0380 SetRef
004e7d90 LoadRequest::GetOptions
004ec520 CVManager::ctor
00517cd0 pure3d::d3dSimpleShader::SetFilterMode
00517ce0 pure3d::d3dSimpleShader::SetShadeMode
005f7a30 some_default_dtor
0064b650 d3dContext::DrawPrimBuf
0064b880 d3dContext::DisableCull
006517b0 pure3d::d3dContext::ctor
006524c0 pure3d::d3dSimpleShader::SetAlphaTest
006524d0 pure3d::d3dSimpleShader::SetUVMode
006524e0 pure3d::d3dSimpleShader::SetTwoSided
006524f0 pure3d::d3dShader::ctor
00652650 pure3d::d3dSimpleShader::SetBlendMode
00652660 pure3d::SimpleShader::SetAlphaThreshold
006526f0 pure3d::d3dSimpleShader::EnableLighting
00652750 pure3d::d3dSimpleShader::SetFade
00652820 pddiBaseShader::SetTexture
00652880 pddiBaseShader::SetInt
006528e0 pddiBaseShader::SetFloat
00652940 pddiBaseShader::SetColour
006529a0 pddiBaseShader::SetVector
00652a00 pddiBaseShader::SetMatrix
00652a60 pddiBaseShader::InstallShader
00652ab0 pddiBaseShader::AllocateShader
00652b60 pddiBaseShader::SetMaterial
00652bf0 pure3d::pddiBaseShader::ctor
00652c20 pure3d::pddiBaseShader::dtor
00654130 pure3d::d3dDisplay::ctor
00655960 pure3d::d3dTexture::ctor
00656220 pure3d::d3dTexture::ctor_0
00656c50 d3dVertexProgramManager::GetVertexProgram
00659e50 pddiMemRegAlloc
00659e70 pddiMemRegFree
0065a010 PopMatrix
0065a110 PushMatrix
0065acc0 pure3d::pddiBaseContext::ctor
0065af30 pure3d::d3dFBEffectsShader::ctor
0065afb0 d3dState::SetUVMode
0065b020 d3dState::SetSampler
0065b0e0 d3dState::SetPixelShader
0065b150 d3dState::SetTextureStage
0065b220 d3dState::SetTextureStageAlpha
0065b2a0 d3dState::SetMaterial
0065b340 d3dState::SetAlphaBlend
0065b3d0 d3dState::SetBlendFactor
0065b3f0 d3dState::SetAlphaTest
0065b510 d3dShader::SetSamplerStates
0065b5a0 pure3d__d3dSimpleShader::GetTextureTable
0065b5b0 pure3d__d3dSimpleShader::GetIntTable
0065b5c0 pure3d__d3dSimpleShader::GetFloatTable
0065b5d0 pure3d__d3dSimpleShader::GetColourTable
0065b5f0 pure3d::d3dSimpleShader::SetMultiCBV
0065b670 pure3d::d3dSimpleShader::SetALUM
0065b690 pure3d::d3dSimpleShader::SetECMD
0065bd30 pure3d::d3dSimpleShader::ctor
0065be70 pure3d::d3dSimpleShader::SetPass
0065c9b0 pddiObject::ctor
0065c9e0 pddiObject::dtor
0065fd50 pure3d::d3dSimpleCBVLitShader::ctor
006608c0 Matrix::Identity
00660c90 Matrix::SetPosition
00660f70 Matrix::InvertOrthonormal
006614d0 Matrix::Multiply
006624b0 Quaternion::FromMatrix
006626e0 Quaternion::SetMatrix
